time,drug,year,estimate,grade,LBYear1,LBYear2
Lifetime,Abstainers,2017,67.88431958,8th Grade,,
Lifetime,Abstainers,2018,64.8806123,8th Grade,,
Lifetime,Abstainers,2019,63.11642338,8th Grade,,
Lifetime,Abstainers,2020,63.92492933,8th Grade,,
Lifetime,Abstainers,2021,69.93338769,8th Grade,,
Lifetime,Abstainers,2022,67.06053127,8th Grade,,
Lifetime,Abstainers,2023,70.83698607,8th Grade,,
Lifetime,Abstainers,2017,44.61800082,10th Grade,,
Lifetime,Abstainers,2018,42.72195701,10th Grade,,
Lifetime,Abstainers,2019,41.69881434,10th Grade,,
Lifetime,Abstainers,2020,40.31453376,10th Grade,,
Lifetime,Abstainers,2021,55.76763257,10th Grade,,
Lifetime,Abstainers,2022,48.81064943,10th Grade,,
Lifetime,Abstainers,2023,53.88777188,10th Grade,,
Lifetime,Abstainers,2017,26.45291889,12th Grade,,
Lifetime,Abstainers,2018,26.39183344,12th Grade,,
Lifetime,Abstainers,2019,29.69632759,12th Grade,,
Lifetime,Abstainers,2020,29.39113994,12th Grade,,
Lifetime,Abstainers,2021,35.25530973,12th Grade,,
Lifetime,Abstainers,2022,30.97278247,12th Grade,,
Lifetime,Abstainers,2023,37.50674171,12th Grade,,
Last 30 Days,Abstainers,2017,87.0380474,8th Grade,,
Last 30 Days,Abstainers,2018,84.1546168,8th Grade,,
Last 30 Days,Abstainers,2019,82.23221392,8th Grade,,
Last 30 Days,Abstainers,2020,82.6585046,8th Grade,,
Last 30 Days,Abstainers,2021,86.86445083,8th Grade,,
Last 30 Days,Abstainers,2022,87.12190171,8th Grade,,
Last 30 Days,Abstainers,2023,87.47989729,8th Grade,,
Last 30 Days,Abstainers,2017,68.85446766,10th Grade,,
Last 30 Days,Abstainers,2018,65.16902065,10th Grade,,
Last 30 Days,Abstainers,2019,64.78712021,10th Grade,,
Last 30 Days,Abstainers,2020,65.42426844,10th Grade,,
Last 30 Days,Abstainers,2021,77.39098162,10th Grade,,
Last 30 Days,Abstainers,2022,75.1775964,10th Grade,,
Last 30 Days,Abstainers,2023,76.85491089,10th Grade,,
Last 30 Days,Abstainers,2017,52.54602407,12th Grade,,
Last 30 Days,Abstainers,2018,51.75628119,12th Grade,,
Last 30 Days,Abstainers,2019,53.82042128,12th Grade,,
Last 30 Days,Abstainers,2020,53.10276065,12th Grade,,
Last 30 Days,Abstainers,2021,60.10452716,12th Grade,,
Last 30 Days,Abstainers,2022,58.31331042,12th Grade,,
Last 30 Days,Abstainers,2023,62.58600546,12th Grade,,
Last 12 Months,Adderall,2009,1.986052785,8th Grade,,
Last 12 Months,Adderall,2010,2.288346061,8th Grade,,
Last 12 Months,Adderall,2011,1.673664393,8th Grade,,
Last 12 Months,Adderall,2012,1.663845183,8th Grade,,
Last 12 Months,Adderall,2013,1.765851563,8th Grade,,
Last 12 Months,Adderall,2014,1.263545537,8th Grade,,
Last 12 Months,Adderall,2015,1.049554903,8th Grade,,
Last 12 Months,Adderall,2016,1.509960101,8th Grade,,
Last 12 Months,Adderall,2017,1.251874567,8th Grade,,
Last 12 Months,Adderall,2018,1.800073714,8th Grade,,
Last 12 Months,Adderall,2019,2.538875231,8th Grade,,
Last 12 Months,Adderall,2020,2.745067748,8th Grade,,
Last 12 Months,Adderall,2021,1.813145447,8th Grade,,
Last 12 Months,Adderall,2022,2.317117353,8th Grade,,
Last 12 Months,Adderall,2023,1.650877766,8th Grade,,
Last 12 Months,Adderall,2009,5.73957699,10th Grade,,
Last 12 Months,Adderall,2010,5.270837211,10th Grade,,
Last 12 Months,Adderall,2011,4.571265316,10th Grade,,
Last 12 Months,Adderall,2012,4.491424084,10th Grade,,
Last 12 Months,Adderall,2013,4.426391859,10th Grade,,
Last 12 Months,Adderall,2014,4.640929972,10th Grade,,
Last 12 Months,Adderall,2015,5.240001381,10th Grade,,
Last 12 Months,Adderall,2016,4.161811254,10th Grade,,
Last 12 Months,Adderall,2017,3.955919132,10th Grade,,
Last 12 Months,Adderall,2018,4.057222242,10th Grade,,
Last 12 Months,Adderall,2019,3.07145579,10th Grade,,
Last 12 Months,Adderall,2020,2.864572443,10th Grade,,
Last 12 Months,Adderall,2021,1.600608817,10th Grade,,
Last 12 Months,Adderall,2022,2.880720729,10th Grade,,
Last 12 Months,Adderall,2023,2.146639426,10th Grade,,
Last 12 Months,Adderall,2009,5.417969548,12th Grade,,
Last 12 Months,Adderall,2010,6.527956415,12th Grade,,
Last 12 Months,Adderall,2011,6.536678341,12th Grade,,
Last 12 Months,Adderall,2012,7.638230362,12th Grade,,
Last 12 Months,Adderall,2013,7.374118726,12th Grade,,
Last 12 Months,Adderall,2014,6.770617237,12th Grade,,
Last 12 Months,Adderall,2015,7.479196681,12th Grade,,
Last 12 Months,Adderall,2016,6.152536983,12th Grade,,
Last 12 Months,Adderall,2017,5.542634119,12th Grade,,
Last 12 Months,Adderall,2018,4.587083345,12th Grade,,
Last 12 Months,Adderall,2019,3.852081919,12th Grade,,
Last 12 Months,Adderall,2020,4.358920428,12th Grade,,
Last 12 Months,Adderall,2021,1.761527656,12th Grade,,
Last 12 Months,Adderall,2022,3.429547804,12th Grade,,
Last 12 Months,Adderall,2023,1.729980183,12th Grade,,
Lifetime,ADHD Either Type,2005,13.71158449,8th Grade,,
Lifetime,ADHD Either Type,2006,15.81938827,8th Grade,,
Lifetime,ADHD Either Type,2007,13.3732874,8th Grade,,
Lifetime,ADHD Either Type,2008,13.09705111,8th Grade,,
Lifetime,ADHD Either Type,2009,12.84363816,8th Grade,,
Lifetime,ADHD Either Type,2010,12.810903,8th Grade,,
Lifetime,ADHD Either Type,2011,12.44155014,8th Grade,,
Lifetime,ADHD Either Type,2012,11.63944,8th Grade,,
Lifetime,ADHD Either Type,2013,11.49936917,8th Grade,,
Lifetime,ADHD Either Type,2014,11.16253337,8th Grade,,
Lifetime,ADHD Either Type,2015,11.40665286,8th Grade,,
Lifetime,ADHD Either Type,2016,12.04708243,8th Grade,,
Lifetime,ADHD Either Type,2017,10.89478716,8th Grade,,
Lifetime,ADHD Either Type,2018,10.97357965,8th Grade,,
Lifetime,ADHD Either Type,2019,9.768309453,8th Grade,,
Lifetime,ADHD Either Type,2020,7.263451489,8th Grade,,
Lifetime,ADHD Either Type,2021,11.54769708,8th Grade,,
Lifetime,ADHD Either Type,2022,11.97524614,8th Grade,,
Lifetime,ADHD Either Type,2023,9.961631618,8th Grade,,
Lifetime,ADHD Either Type,2005,14.31926341,10th Grade,,
Lifetime,ADHD Either Type,2006,14.14659684,10th Grade,,
Lifetime,ADHD Either Type,2007,12.93067357,10th Grade,,
Lifetime,ADHD Either Type,2008,12.77122949,10th Grade,,
Lifetime,ADHD Either Type,2009,13.0092815,10th Grade,,
Lifetime,ADHD Either Type,2010,12.68324808,10th Grade,,
Lifetime,ADHD Either Type,2011,12.01334453,10th Grade,,
Lifetime,ADHD Either Type,2012,11.97383877,10th Grade,,
Lifetime,ADHD Either Type,2013,11.66673435,10th Grade,,
Lifetime,ADHD Either Type,2014,11.25862191,10th Grade,,
Lifetime,ADHD Either Type,2015,13.07959973,10th Grade,,
Lifetime,ADHD Either Type,2016,11.46062999,10th Grade,,
Lifetime,ADHD Either Type,2017,10.05612671,10th Grade,,
Lifetime,ADHD Either Type,2018,12.1088459,10th Grade,,
Lifetime,ADHD Either Type,2019,9.811881744,10th Grade,,
Lifetime,ADHD Either Type,2020,9.347477878,10th Grade,,
Lifetime,ADHD Either Type,2021,9.046422801,10th Grade,,
Lifetime,ADHD Either Type,2022,10.64016742,10th Grade,,
Lifetime,ADHD Either Type,2023,10.64333847,10th Grade,,
Lifetime,ADHD Either Type,2005,12.28061469,12th Grade,,
Lifetime,ADHD Either Type,2006,11.67588951,12th Grade,,
Lifetime,ADHD Either Type,2007,12.06788941,12th Grade,,
Lifetime,ADHD Either Type,2008,12.5462117,12th Grade,,
Lifetime,ADHD Either Type,2009,11.75043139,12th Grade,,
Lifetime,ADHD Either Type,2010,12.72281224,12th Grade,,
Lifetime,ADHD Either Type,2011,12.15848297,12th Grade,,
Lifetime,ADHD Either Type,2012,12.722525,12th Grade,,
Lifetime,ADHD Either Type,2013,13.14545596,12th Grade,,
Lifetime,ADHD Either Type,2014,12.59660381,12th Grade,,
Lifetime,ADHD Either Type,2015,13.74310296,12th Grade,,
Lifetime,ADHD Either Type,2016,12.65748826,12th Grade,,
Lifetime,ADHD Either Type,2017,12.95203657,12th Grade,,
Lifetime,ADHD Either Type,2018,12.68363223,12th Grade,,
Lifetime,ADHD Either Type,2019,11.10909003,12th Grade,,
Lifetime,ADHD Either Type,2020,9.875624909,12th Grade,,
Lifetime,ADHD Either Type,2021,10.91968776,12th Grade,,
Lifetime,ADHD Either Type,2022,14.5983814,12th Grade,,
Lifetime,ADHD Either Type,2023,14.26051659,12th Grade,,
Last 30 Days,ADHD Either Type,2005,6.084236311,8th Grade,,
Last 30 Days,ADHD Either Type,2006,5.19591514,8th Grade,,
Last 30 Days,ADHD Either Type,2007,4.48910694,8th Grade,,
Last 30 Days,ADHD Either Type,2008,5.11793658,8th Grade,,
Last 30 Days,ADHD Either Type,2009,4.887418296,8th Grade,,
Last 30 Days,ADHD Either Type,2010,4.696251286,8th Grade,,
Last 30 Days,ADHD Either Type,2011,4.924030501,8th Grade,,
Last 30 Days,ADHD Either Type,2012,4.729760433,8th Grade,,
Last 30 Days,ADHD Either Type,2013,4.985795311,8th Grade,,
Last 30 Days,ADHD Either Type,2014,4.596951805,8th Grade,,
Last 30 Days,ADHD Either Type,2015,4.883416524,8th Grade,,
Last 30 Days,ADHD Either Type,2016,5.594477743,8th Grade,,
Last 30 Days,ADHD Either Type,2017,4.712035857,8th Grade,,
Last 30 Days,ADHD Either Type,2018,5.225414629,8th Grade,,
Last 30 Days,ADHD Either Type,2019,3.794706579,8th Grade,,
Last 30 Days,ADHD Either Type,2020,2.67771184,8th Grade,,
Last 30 Days,ADHD Either Type,2021,5.521914185,8th Grade,,
Last 30 Days,ADHD Either Type,2022,5.40730409,8th Grade,,
Last 30 Days,ADHD Either Type,2023,3.885260274,8th Grade,,
Last 30 Days,ADHD Either Type,2005,5.550839959,10th Grade,,
Last 30 Days,ADHD Either Type,2006,4.7528452,10th Grade,,
Last 30 Days,ADHD Either Type,2007,4.187318009,10th Grade,,
Last 30 Days,ADHD Either Type,2008,4.506826105,10th Grade,,
Last 30 Days,ADHD Either Type,2009,4.999289471,10th Grade,,
Last 30 Days,ADHD Either Type,2010,4.595448403,10th Grade,,
Last 30 Days,ADHD Either Type,2011,4.227866656,10th Grade,,
Last 30 Days,ADHD Either Type,2012,5.09963342,10th Grade,,
Last 30 Days,ADHD Either Type,2013,4.994547928,10th Grade,,
Last 30 Days,ADHD Either Type,2014,4.785667552,10th Grade,,
Last 30 Days,ADHD Either Type,2015,5.791080576,10th Grade,,
Last 30 Days,ADHD Either Type,2016,4.322772416,10th Grade,,
Last 30 Days,ADHD Either Type,2017,4.015510186,10th Grade,,
Last 30 Days,ADHD Either Type,2018,5.118581695,10th Grade,,
Last 30 Days,ADHD Either Type,2019,4.376963279,10th Grade,,
Last 30 Days,ADHD Either Type,2020,4.038464438,10th Grade,,
Last 30 Days,ADHD Either Type,2021,4.820064803,10th Grade,,
Last 30 Days,ADHD Either Type,2022,5.261687726,10th Grade,,
Last 30 Days,ADHD Either Type,2023,5.147762717,10th Grade,,
Last 30 Days,ADHD Either Type,2005,4.58647041,12th Grade,,
Last 30 Days,ADHD Either Type,2006,3.671404235,12th Grade,,
Last 30 Days,ADHD Either Type,2007,4.11857568,12th Grade,,
Last 30 Days,ADHD Either Type,2008,4.483316438,12th Grade,,
Last 30 Days,ADHD Either Type,2009,4.173584025,12th Grade,,
Last 30 Days,ADHD Either Type,2010,5.173640742,12th Grade,,
Last 30 Days,ADHD Either Type,2011,5.087718302,12th Grade,,
Last 30 Days,ADHD Either Type,2012,5.458776939,12th Grade,,
Last 30 Days,ADHD Either Type,2013,6.006879164,12th Grade,,
Last 30 Days,ADHD Either Type,2014,5.514684688,12th Grade,,
Last 30 Days,ADHD Either Type,2015,5.307164647,12th Grade,,
Last 30 Days,ADHD Either Type,2016,5.603178942,12th Grade,,
Last 30 Days,ADHD Either Type,2017,5.742130101,12th Grade,,
Last 30 Days,ADHD Either Type,2018,5.889408812,12th Grade,,
Last 30 Days,ADHD Either Type,2019,4.953712117,12th Grade,,
Last 30 Days,ADHD Either Type,2020,4.249820764,12th Grade,,
Last 30 Days,ADHD Either Type,2021,5.201176388,12th Grade,,
Last 30 Days,ADHD Either Type,2022,8.382979823,12th Grade,,
Last 30 Days,ADHD Either Type,2023,6.734095229,12th Grade,,
Lifetime,ADHD Non-Stimulant,2005,7.301907853,8th Grade,,
Lifetime,ADHD Non-Stimulant,2006,7.936098382,8th Grade,,
Lifetime,ADHD Non-Stimulant,2007,6.254503657,8th Grade,,
Lifetime,ADHD Non-Stimulant,2008,6.295333292,8th Grade,,
Lifetime,ADHD Non-Stimulant,2009,5.762172814,8th Grade,,
Lifetime,ADHD Non-Stimulant,2010,5.748671654,8th Grade,,
Lifetime,ADHD Non-Stimulant,2011,6.131483905,8th Grade,,
Lifetime,ADHD Non-Stimulant,2012,5.08296442,8th Grade,,
Lifetime,ADHD Non-Stimulant,2013,5.117304794,8th Grade,,
Lifetime,ADHD Non-Stimulant,2014,4.809097376,8th Grade,,
Lifetime,ADHD Non-Stimulant,2015,5.094686928,8th Grade,,
Lifetime,ADHD Non-Stimulant,2016,5.680414869,8th Grade,,
Lifetime,ADHD Non-Stimulant,2017,4.880601668,8th Grade,,
Lifetime,ADHD Non-Stimulant,2018,4.388140458,8th Grade,,
Lifetime,ADHD Non-Stimulant,2019,4.516530424,8th Grade,,
Lifetime,ADHD Non-Stimulant,2020,4.174437414,8th Grade,,
Lifetime,ADHD Non-Stimulant,2021,2.778592117,8th Grade,,
Lifetime,ADHD Non-Stimulant,2022,3.542922132,8th Grade,,
Lifetime,ADHD Non-Stimulant,2023,2.806797767,8th Grade,,
Lifetime,ADHD Non-Stimulant,2005,8.325027548,10th Grade,,
Lifetime,ADHD Non-Stimulant,2006,8.307255729,10th Grade,,
Lifetime,ADHD Non-Stimulant,2007,6.71462735,10th Grade,,
Lifetime,ADHD Non-Stimulant,2008,6.769510102,10th Grade,,
Lifetime,ADHD Non-Stimulant,2009,6.84459208,10th Grade,,
Lifetime,ADHD Non-Stimulant,2010,6.098262626,10th Grade,,
Lifetime,ADHD Non-Stimulant,2011,6.386903826,10th Grade,,
Lifetime,ADHD Non-Stimulant,2012,5.17105136,10th Grade,,
Lifetime,ADHD Non-Stimulant,2013,4.93493676,10th Grade,,
Lifetime,ADHD Non-Stimulant,2014,5.779163226,10th Grade,,
Lifetime,ADHD Non-Stimulant,2015,5.763581641,10th Grade,,
Lifetime,ADHD Non-Stimulant,2016,5.229151524,10th Grade,,
Lifetime,ADHD Non-Stimulant,2017,4.64676749,10th Grade,,
Lifetime,ADHD Non-Stimulant,2018,5.14788329,10th Grade,,
Lifetime,ADHD Non-Stimulant,2019,5.154240162,10th Grade,,
Lifetime,ADHD Non-Stimulant,2020,5.074169066,10th Grade,,
Lifetime,ADHD Non-Stimulant,2021,2.967232167,10th Grade,,
Lifetime,ADHD Non-Stimulant,2022,3.416512204,10th Grade,,
Lifetime,ADHD Non-Stimulant,2023,2.847261545,10th Grade,,
Lifetime,ADHD Non-Stimulant,2005,6.208243833,12th Grade,,
Lifetime,ADHD Non-Stimulant,2006,6.058390239,12th Grade,,
Lifetime,ADHD Non-Stimulant,2007,6.958535511,12th Grade,,
Lifetime,ADHD Non-Stimulant,2008,6.370541385,12th Grade,,
Lifetime,ADHD Non-Stimulant,2009,5.390311542,12th Grade,,
Lifetime,ADHD Non-Stimulant,2010,6.708764063,12th Grade,,
Lifetime,ADHD Non-Stimulant,2011,5.843127873,12th Grade,,
Lifetime,ADHD Non-Stimulant,2012,5.91202325,12th Grade,,
Lifetime,ADHD Non-Stimulant,2013,5.363598932,12th Grade,,
Lifetime,ADHD Non-Stimulant,2014,5.637107492,12th Grade,,
Lifetime,ADHD Non-Stimulant,2015,5.63468517,12th Grade,,
Lifetime,ADHD Non-Stimulant,2016,5.8415685,12th Grade,,
Lifetime,ADHD Non-Stimulant,2017,6.449219835,12th Grade,,
Lifetime,ADHD Non-Stimulant,2018,6.098935299,12th Grade,,
Lifetime,ADHD Non-Stimulant,2019,5.681570751,12th Grade,,
Lifetime,ADHD Non-Stimulant,2020,4.76124487,12th Grade,,
Lifetime,ADHD Non-Stimulant,2021,4.509469539,12th Grade,,
Lifetime,ADHD Non-Stimulant,2022,5.763024773,12th Grade,,
Lifetime,ADHD Non-Stimulant,2023,5.362117454,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2005,2.166529262,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2006,1.916166199,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2007,1.392746559,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2008,1.60872218,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2009,1.155059447,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2010,1.377083168,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2011,1.453215281,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2012,1.201337556,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2013,1.400626201,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2014,1.206635704,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2015,1.149491882,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2016,1.94865523,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2017,1.119907171,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2018,1.21564608,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2019,1.422081944,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2020,1.436544862,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2021,0.894994947,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2022,1.259376548,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2023,0.729559812,8th Grade,,
Last 30 Days,ADHD Non-Stimulant,2005,2.284525709,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2006,2.325751375,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2007,1.554075086,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2008,1.682129029,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2009,1.926773773,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2010,1.628655529,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2011,1.263117695,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2012,1.265856473,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2013,1.319742851,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2014,1.382458178,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2015,1.724944446,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2016,1.211796925,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2017,1.026623351,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2018,1.444371564,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2019,1.765101831,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2020,1.809945715,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2021,1.526929769,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2022,1.330221512,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2023,1.445271839,10th Grade,,
Last 30 Days,ADHD Non-Stimulant,2005,1.908165454,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2006,1.547699452,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2007,1.710604766,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2008,1.922790579,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2009,1.480431467,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2010,2.313761637,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2011,1.87589211,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2012,1.807886502,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2013,1.802124981,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2014,2.241815952,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2015,1.470171386,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2016,2.068195747,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2017,2.493577984,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2018,2.592071647,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2019,2.323969471,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2020,1.713594328,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2021,2.302190894,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2022,3.504292992,12th Grade,,
Last 30 Days,ADHD Non-Stimulant,2023,2.021070985,12th Grade,,
Lifetime,ADHD Stimulant,2005,8.310365707,8th Grade,,
Lifetime,ADHD Stimulant,2006,9.347161811,8th Grade,,
Lifetime,ADHD Stimulant,2007,8.300473605,8th Grade,,
Lifetime,ADHD Stimulant,2008,8.149370238,8th Grade,,
Lifetime,ADHD Stimulant,2009,7.831102772,8th Grade,,
Lifetime,ADHD Stimulant,2010,8.160553556,8th Grade,,
Lifetime,ADHD Stimulant,2011,7.596435823,8th Grade,,
Lifetime,ADHD Stimulant,2012,7.660895505,8th Grade,,
Lifetime,ADHD Stimulant,2013,7.079636725,8th Grade,,
Lifetime,ADHD Stimulant,2014,7.212806637,8th Grade,,
Lifetime,ADHD Stimulant,2015,7.073825792,8th Grade,,
Lifetime,ADHD Stimulant,2016,7.471848611,8th Grade,,
Lifetime,ADHD Stimulant,2017,6.646631776,8th Grade,,
Lifetime,ADHD Stimulant,2018,7.142298388,8th Grade,,
Lifetime,ADHD Stimulant,2019,6.517622822,8th Grade,,
Lifetime,ADHD Stimulant,2020,5.00770697,8th Grade,,
Lifetime,ADHD Stimulant,2021,8.956483444,8th Grade,,
Lifetime,ADHD Stimulant,2022,9.666049813,8th Grade,,
Lifetime,ADHD Stimulant,2023,7.514786569,8th Grade,,
Lifetime,ADHD Stimulant,2005,8.684343924,10th Grade,,
Lifetime,ADHD Stimulant,2006,8.527117299,10th Grade,,
Lifetime,ADHD Stimulant,2007,8.392676282,10th Grade,,
Lifetime,ADHD Stimulant,2008,7.797845326,10th Grade,,
Lifetime,ADHD Stimulant,2009,8.245180306,10th Grade,,
Lifetime,ADHD Stimulant,2010,8.635529672,10th Grade,,
Lifetime,ADHD Stimulant,2011,7.209611161,10th Grade,,
Lifetime,ADHD Stimulant,2012,8.009787023,10th Grade,,
Lifetime,ADHD Stimulant,2013,8.344007151,10th Grade,,
Lifetime,ADHD Stimulant,2014,6.767965859,10th Grade,,
Lifetime,ADHD Stimulant,2015,8.80451524,10th Grade,,
Lifetime,ADHD Stimulant,2016,7.080003946,10th Grade,,
Lifetime,ADHD Stimulant,2017,6.521888994,10th Grade,,
Lifetime,ADHD Stimulant,2018,8.162904478,10th Grade,,
Lifetime,ADHD Stimulant,2019,6.577364755,10th Grade,,
Lifetime,ADHD Stimulant,2020,6.030533747,10th Grade,,
Lifetime,ADHD Stimulant,2021,6.984825474,10th Grade,,
Lifetime,ADHD Stimulant,2022,8.490510863,10th Grade,,
Lifetime,ADHD Stimulant,2023,8.332520997,10th Grade,,
Lifetime,ADHD Stimulant,2005,8.343018207,12th Grade,,
Lifetime,ADHD Stimulant,2006,7.807223786,12th Grade,,
Lifetime,ADHD Stimulant,2007,7.575686831,12th Grade,,
Lifetime,ADHD Stimulant,2008,8.578500566,12th Grade,,
Lifetime,ADHD Stimulant,2009,8.178305511,12th Grade,,
Lifetime,ADHD Stimulant,2010,8.26882084,12th Grade,,
Lifetime,ADHD Stimulant,2011,8.383971902,12th Grade,,
Lifetime,ADHD Stimulant,2012,9.018648748,12th Grade,,
Lifetime,ADHD Stimulant,2013,9.575516739,12th Grade,,
Lifetime,ADHD Stimulant,2014,9.049137679,12th Grade,,
Lifetime,ADHD Stimulant,2015,9.870334878,12th Grade,,
Lifetime,ADHD Stimulant,2016,8.402625739,12th Grade,,
Lifetime,ADHD Stimulant,2017,8.605051432,12th Grade,,
Lifetime,ADHD Stimulant,2018,8.555323303,12th Grade,,
Lifetime,ADHD Stimulant,2019,7.903675585,12th Grade,,
Lifetime,ADHD Stimulant,2020,7.530888103,12th Grade,,
Lifetime,ADHD Stimulant,2021,8.049286126,12th Grade,,
Lifetime,ADHD Stimulant,2022,11.23889147,12th Grade,,
Lifetime,ADHD Stimulant,2023,11.04569369,12th Grade,,
Last 30 Days,ADHD Stimulant,2005,3.863324763,8th Grade,,
Last 30 Days,ADHD Stimulant,2006,3.456059856,8th Grade,,
Last 30 Days,ADHD Stimulant,2007,3.079326435,8th Grade,,
Last 30 Days,ADHD Stimulant,2008,3.445361729,8th Grade,,
Last 30 Days,ADHD Stimulant,2009,3.678952933,8th Grade,,
Last 30 Days,ADHD Stimulant,2010,3.385667583,8th Grade,,
Last 30 Days,ADHD Stimulant,2011,3.331045812,8th Grade,,
Last 30 Days,ADHD Stimulant,2012,3.476690133,8th Grade,,
Last 30 Days,ADHD Stimulant,2013,3.426953086,8th Grade,,
Last 30 Days,ADHD Stimulant,2014,3.192329659,8th Grade,,
Last 30 Days,ADHD Stimulant,2015,3.549578903,8th Grade,,
Last 30 Days,ADHD Stimulant,2016,3.668410233,8th Grade,,
Last 30 Days,ADHD Stimulant,2017,3.386965877,8th Grade,,
Last 30 Days,ADHD Stimulant,2018,3.668603946,8th Grade,,
Last 30 Days,ADHD Stimulant,2019,2.76967674,8th Grade,,
Last 30 Days,ADHD Stimulant,2020,2.013495137,8th Grade,,
Last 30 Days,ADHD Stimulant,2021,4.227724389,8th Grade,,
Last 30 Days,ADHD Stimulant,2022,4.187045103,8th Grade,,
Last 30 Days,ADHD Stimulant,2023,2.889188963,8th Grade,,
Last 30 Days,ADHD Stimulant,2005,3.397412995,10th Grade,,
Last 30 Days,ADHD Stimulant,2006,2.790676379,10th Grade,,
Last 30 Days,ADHD Stimulant,2007,2.811097201,10th Grade,,
Last 30 Days,ADHD Stimulant,2008,2.935821446,10th Grade,,
Last 30 Days,ADHD Stimulant,2009,3.340169795,10th Grade,,
Last 30 Days,ADHD Stimulant,2010,3.116547402,10th Grade,,
Last 30 Days,ADHD Stimulant,2011,2.82523284,10th Grade,,
Last 30 Days,ADHD Stimulant,2012,3.827694708,10th Grade,,
Last 30 Days,ADHD Stimulant,2013,3.705730486,10th Grade,,
Last 30 Days,ADHD Stimulant,2014,3.422580004,10th Grade,,
Last 30 Days,ADHD Stimulant,2015,4.163516999,10th Grade,,
Last 30 Days,ADHD Stimulant,2016,3.013527076,10th Grade,,
Last 30 Days,ADHD Stimulant,2017,3.037060405,10th Grade,,
Last 30 Days,ADHD Stimulant,2018,3.880837562,10th Grade,,
Last 30 Days,ADHD Stimulant,2019,2.907311206,10th Grade,,
Last 30 Days,ADHD Stimulant,2020,2.547413186,10th Grade,,
Last 30 Days,ADHD Stimulant,2021,3.577564644,10th Grade,,
Last 30 Days,ADHD Stimulant,2022,4.300163316,10th Grade,,
Last 30 Days,ADHD Stimulant,2023,3.684220538,10th Grade,,
Last 30 Days,ADHD Stimulant,2005,2.590081021,12th Grade,,
Last 30 Days,ADHD Stimulant,2006,2.317560413,12th Grade,,
Last 30 Days,ADHD Stimulant,2007,2.548714507,12th Grade,,
Last 30 Days,ADHD Stimulant,2008,2.928272714,12th Grade,,
Last 30 Days,ADHD Stimulant,2009,2.872061404,12th Grade,,
