DrugName,Superscript,PublishLink,EditLink
Bath Salts,"n,o",https://docs.google.com/document/d/e/2PACX-1vTUqvpT-8hKscHzmHID2ynYX_Fvtr9gGuBMivIezU-tZL1B4Efl_OmdnzM77r7TLeERIflWIpbYYOrz/pub?embedded=true,https://docs.google.com/document/d/18yQShdj_yVp6APP1atQK-Rd1Ee4Kz2RVjLO_CWLWu2E/edit?usp=sharing
Been Drunk,o,https://docs.google.com/document/d/e/2PACX-1vTDPsECKAEyB-oDb5zt5fiResJzAqTgh0dhOYv4_zjhq6DghMonXzAp7IleOrKgCLaDiiwHLETjE_He/pub?embedded=true,https://docs.google.com/document/d/1SkwMkPLzCGEyBQxl59n7iFYxcXCBOWRuBHILmFHLgQA/edit?usp=sharing
Beer,oo,https://docs.google.com/document/d/e/2PACX-1vQHWm9vY7s4C5iossY6KCcSd_pBweP7T0R5C08-k8PdKSmvii-vzQxIcEvSRKkXoKQPcovU09mVshRm/pub?embedded=true,https://docs.google.com/document/d/1hiwZvWKn-yK3V7oIbrVESewBp8-JJAg6_hDLqXw_WvM/edit?usp=sharing
Bidis,"n,o",https://docs.google.com/document/d/e/2PACX-1vTw-O8UgLoix9Tsb5d0OKixHhapzmh3RJC8B7KgVsmnpVVu8eOqz-uTuowQVJxVIzwee0uvS5z943M7/pub?embedded=true,https://docs.google.com/document/d/1WhNqOjlsrSLJr8fgVgwYFYI98ar7S-65lovL2uXP_v4/edit?usp=sharing
Cigarillos (Small Cigars),"e,oo",https://docs.google.com/document/d/e/2PACX-1vSmCKwAzhG4U6OQumgmArj2xWsT9UPSSUlne6uFVgZchtmyMMwIqaubINuHqZ4VMwBiTjZTEQYaSIhB/pub?embedded=true,https://docs.google.com/document/d/1VORWz0EEFJe7H8YGwOc3OpIRrHBzA_fs72crVuxHg6c/edit?usp=sharing
Cigarettes,,https://docs.google.com/document/d/e/2PACX-1vSUAY8Qb6D92UVS6cXMKmGli5OZLqwxyYaJAlZxdTEW7Hk6RgZPBtLFOn_Ckrk6CmlmPneKZayEpWHt/pub?embedded=true,https://docs.google.com/document/d/1KLy9tlr68JKx4QZO1K2jpwqvlFWOb1fc2gf8NFTwbM0/edit?usp=sharing
Cocaine,,https://docs.google.com/document/d/e/2PACX-1vQBl-ONsQaaaV1l4328ke-UiNWzFHxzpAMvgmW_9ENViKdcfYDMgTHFE-ZdPqsrM74dG0-n_kC319rG/pub?embedded=true,https://docs.google.com/document/d/1CW0dr-ICUJD6itJ2NcN1HRje3aQH-TYnyQp_JjDjxbs/edit?usp=sharing
Cocaine other than Crack,h,https://docs.google.com/document/d/e/2PACX-1vSHoB8ADATSgxCmU9sA4pkBZO08-ASVmmQAAkh6wX2IVPGtp4GU2HNPZncGYv9t69-9i7hLp9ZLy_tS/pub?embedded=true,https://docs.google.com/document/d/1THpSYXr1-H_WKDTB4Y8ibL0WKcraesgby54gyf98c28/edit?usp=sharing
Crack,,https://docs.google.com/document/d/e/2PACX-1vRcTtN9UOCeic0_7gkX0UvexFxalWkHw7NhT1y4_NyS5f0bimvHzjQvdF8Ar3PyQBI3ft-iRl28N9Ni/pub?embedded=true,https://docs.google.com/document/d/1qDp2YH3uj2JT7MdniJNLexp8r5yOUSjvtTC-RLptcPA/edit?usp=sharing
Creatine,bb,https://docs.google.com/document/d/e/2PACX-1vRXoA6QONTRp6EPYSCAcvyPpczSwnes-0sxl87eih_FqmwHDqhBfs3CPvXyYXoF_JBvpgFDQuCbIyw7/pub?embedded=true,https://docs.google.com/document/d/1DdmQHh869Ot6db5SXq_5MZgRBzSTieX-IbDYPTjZsKc/edit?usp=sharing
Crystal Methamphetamine,o,https://docs.google.com/document/d/e/2PACX-1vQ5F4YrGRrlh4DK29r-8YR8KwOwle23Uhso5j2KMns9pakAqMdJxv_4rBk7WKzd_33O_XZWLR71sxYv/pub?embedded=true,https://docs.google.com/document/d/1NvZSHksEgREjjSjoGowCMr_87h-kezieoTeaYqhYW48/edit?usp=sharing
Diet Pills,"e,oo",https://docs.google.com/document/d/e/2PACX-1vTvaHrDcXOY3IjRVcuKZ9LHb1X-Od0Ol8yWkZl0Ee1aFF-hgO60c3pDo_70_y-6Yh34ArYX8XPmXqRH/pub?embedded=true,https://docs.google.com/document/d/1yqayA6o3_C1QERlvKspRkluDfIx8G7uCzWu3zoccF3o/edit?usp=sharing
