grade,time,drug,year,attitude,estimate,LBYear1
12th Grade,In Public,Marijuana,2001,Legality,68.274428358,2019
12th Grade,In Public,Marijuana,2002,Legality,67.639365675,2019
12th Grade,In Public,Marijuana,2003,Legality,68.627596062,2019
12th Grade,In Public,Marijuana,2004,Legality,69.153084267,2019
12th Grade,In Public,Marijuana,2005,Legality,69.570542415,2019
12th Grade,In Public,Marijuana,2006,Legality,68.539842399,2019
12th Grade,In Public,Marijuana,2007,Legality,69.43422487,2019
12th Grade,In Public,Marijuana,2008,Legality,70.179274156,2019
12th Grade,In Public,Marijuana,2009,Legality,67.067916938,2019
12th Grade,In Public,Marijuana,2010,Legality,62.434603421,2019
12th Grade,In Public,Marijuana,2011,Legality,63.811374616,2019
12th Grade,In Public,Marijuana,2012,Legality,64.378957522,2019
12th Grade,In Public,Marijuana,2013,Legality,61.329700862,2019
12th Grade,In Public,Marijuana,2014,Legality,57.040970828,2019
12th Grade,In Public,Marijuana,2015,Legality,55.738305942,2019
12th Grade,In Public,Marijuana,2016,Legality,57.008402515,2019
12th Grade,In Public,Marijuana,2017,Legality,50.327320482,2019
12th Grade,In Public,Marijuana,2018,Legality,47.900258496,2019
12th Grade,In Public,Marijuana,2019,Legality,49.086436751,2019
12th Grade,In Public,Marijuana,2020,Legality,45.399637138,2019
12th Grade,In Public,Marijuana,2021,Legality,41.965726137,2019
12th Grade,In Public,Marijuana,2022,Legality,38.491558347,2019
